
{'Accuracy': 0.5483333468437195, 'F1_Score': 0.3246707022190094, 'Recall': 0.6514285802841187, 'Precision': 0.21621622145175934, 'AUC': 0.6235097646713257}
{'Accuracy': 0.5916666388511658, 'F1_Score': 0.32400473952293396, 'Recall': 0.5871428847312927, 'Precision': 0.22373434901237488, 'AUC': 0.6250506043434143}
{'Accuracy': 0.6007142663002014, 'F1_Score': 0.3278557062149048, 'Recall': 0.5842857360839844, 'Precision': 0.2278551459312439, 'AUC': 0.6236559152603149}
{'Accuracy': 0.6052380800247192, 'F1_Score': 0.3330651521682739, 'Recall': 0.5914285778999329, 'Precision': 0.23180291056632996, 'AUC': 0.6301977634429932}
{'Accuracy': 0.5519047379493713, 'F1_Score': 0.3230215907096863, 'Recall': 0.6414285898208618, 'Precision': 0.2158653885126114, 'AUC': 0.630764901638031}
{'Accuracy': 0.596666693687439, 'F1_Score': 0.3245614171028137, 'Recall': 0.581428587436676, 'Precision': 0.22511062026023865, 'AUC': 0.6292508244514465}
{'Accuracy': 0.6083333492279053, 'F1_Score': 0.32108956575393677, 'Recall': 0.5557143092155457, 'Precision': 0.2257690131664276, 'AUC': 0.618393063545227}
{'Accuracy': 0.5773809552192688, 'F1_Score': 0.3279061019420624, 'Recall': 0.618571400642395, 'Precision': 0.22308088839054108, 'AUC': 0.6211418509483337}
{'Accuracy': 0.5871428847312927, 'F1_Score': 0.32894736528396606, 'Recall': 0.6071428656578064, 'Precision': 0.22558386623859406, 'AUC': 0.6312126517295837}
{'Accuracy': 0.5890476107597351, 'F1_Score': 0.32840466499328613, 'Recall': 0.6028571724891663, 'Precision': 0.22566844522953033, 'AUC': 0.6262463331222534}
{'Accuracy': 0.5888095498085022, 'F1_Score': 0.32984089851379395, 'Recall': 0.6071428656578064, 'Precision': 0.2264251410961151, 'AUC': 0.6187341213226318}
{'Accuracy': 0.5976190567016602, 'F1_Score': 0.3288324177265167, 'Recall': 0.5914285778999329, 'Precision': 0.22772277891635895, 'AUC': 0.6280777454376221}
{'Accuracy': 0.5819047689437866, 'F1_Score': 0.3235747218132019, 'Recall': 0.6000000238418579, 'Precision': 0.22151899337768555, 'AUC': 0.6257350444793701}
{'Accuracy': 0.6026190519332886, 'F1_Score': 0.32126879692077637, 'Recall': 0.5642856955528259, 'Precision': 0.22455941140651703, 'AUC': 0.6256118416786194}
{'Accuracy': 0.5969047546386719, 'F1_Score': 0.3257666230201721, 'Recall': 0.5842857360839844, 'Precision': 0.22584207355976105, 'AUC': 0.6282755136489868}
{'Accuracy': 0.5959523916244507, 'F1_Score': 0.32524850964546204, 'Recall': 0.5842857360839844, 'Precision': 0.22534435987472534, 'AUC': 0.6284044981002808}
{'Accuracy': 0.5719047784805298, 'F1_Score': 0.33060312271118164, 'Recall': 0.6342856884002686, 'Precision': 0.22356495261192322, 'AUC': 0.6265742778778076}
{'Accuracy': 0.5978571176528931, 'F1_Score': 0.3203219175338745, 'Recall': 0.5685714483261108, 'Precision': 0.222969189286232, 'AUC': 0.6220828294754028}
