
{'Accuracy': 0.6430952548980713, 'F1_Score': 0.30633965134620667, 'Recall': 0.47285714745521545, 'Precision': 0.2265571504831314, 'AUC': 0.6037132740020752}
{'Accuracy': 0.6483333110809326, 'F1_Score': 0.29498806595802307, 'Recall': 0.4414285719394684, 'Precision': 0.22150537371635437, 'AUC': 0.5983657240867615}
{'Accuracy': 0.616190493106842, 'F1_Score': 0.31111112236976624, 'Recall': 0.5199999809265137, 'Precision': 0.2219512164592743, 'AUC': 0.6070671677589417}
{'Accuracy': 0.5799999833106995, 'F1_Score': 0.304964542388916, 'Recall': 0.5528571605682373, 'Precision': 0.21055495738983154, 'AUC': 0.6065069437026978}
{'Accuracy': 0.653333306312561, 'F1_Score': 0.3208955228328705, 'Recall': 0.49142858386039734, 'Precision': 0.23822714388370514, 'AUC': 0.613080620765686}
{'Accuracy': 0.6640475988388062, 'F1_Score': 0.31204289197921753, 'Recall': 0.4571428596973419, 'Precision': 0.23686158657073975, 'AUC': 0.6054056882858276}
{'Accuracy': 0.6783333420753479, 'F1_Score': 0.3075346052646637, 'Recall': 0.4285714328289032, 'Precision': 0.23980815708637238, 'AUC': 0.6130249500274658}
{'Accuracy': 0.6757143139839172, 'F1_Score': 0.30510205030441284, 'Recall': 0.427142858505249, 'Precision': 0.23730158805847168, 'AUC': 0.6097159385681152}
{'Accuracy': 0.6526190638542175, 'F1_Score': 0.31211692094802856, 'Recall': 0.47285714745521545, 'Precision': 0.23293454945087433, 'AUC': 0.6140367388725281}
{'Accuracy': 0.6183333396911621, 'F1_Score': 0.3105376362800598, 'Recall': 0.5157142877578735, 'Precision': 0.22215384244918823, 'AUC': 0.6120250821113586}
{'Accuracy': 0.6040475964546204, 'F1_Score': 0.31024470925331116, 'Recall': 0.5342857241630554, 'Precision': 0.21858562529087067, 'AUC': 0.612801194190979}
{'Accuracy': 0.6547619104385376, 'F1_Score': 0.3068833649158478, 'Recall': 0.4585714340209961, 'Precision': 0.2306034415960312, 'AUC': 0.6128309965133667}
{'Accuracy': 0.625, 'F1_Score': 0.3143230378627777, 'Recall': 0.5157142877578735, 'Precision': 0.22604884207248688, 'AUC': 0.6091673374176025}
{'Accuracy': 0.6516666412353516, 'F1_Score': 0.3056478500366211, 'Recall': 0.46000000834465027, 'Precision': 0.22885571420192719, 'AUC': 0.6092379689216614}
{'Accuracy': 0.6214285492897034, 'F1_Score': 0.30628272891044617, 'Recall': 0.5014285445213318, 'Precision': 0.2204773873090744, 'AUC': 0.606834888458252}
{'Accuracy': 0.6485714316368103, 'F1_Score': 0.31603336334228516, 'Recall': 0.4871428608894348, 'Precision': 0.23388202488422394, 'AUC': 0.6163322925567627}
{'Accuracy': 0.6957142949104309, 'F1_Score': 0.3121636211872101, 'Recall': 0.41428571939468384, 'Precision': 0.25043177604675293, 'AUC': 0.6124695539474487}
{'Accuracy': 0.682619035243988, 'F1_Score': 0.30825117230415344, 'Recall': 0.4242857098579407, 'Precision': 0.2420537918806076, 'AUC': 0.6097040772438049}
{'Accuracy': 0.6792857050895691, 'F1_Score': 0.30531200766563416, 'Recall': 0.4228571355342865, 'Precision': 0.23890234529972076, 'AUC': 0.606006920337677}
{'Accuracy': 0.7071428298950195, 'F1_Score': 0.3097642958164215, 'Recall': 0.3942857086658478, 'Precision': 0.2550831735134125, 'AUC': 0.6024442911148071}
{'Accuracy': 0.6026190519332886, 'F1_Score': 0.3071814179420471, 'Recall': 0.5285714268684387, 'Precision': 0.2165008783340454, 'AUC': 0.610074520111084}
{'Accuracy': 0.6480952501296997, 'F1_Score': 0.30999067425727844, 'Recall': 0.47428572177886963, 'Precision': 0.23023578524589539, 'AUC': 0.6087734699249268}
{'Accuracy': 0.6023809313774109, 'F1_Score': 0.31219109892845154, 'Recall': 0.5414285659790039, 'Precision': 0.21932870149612427, 'AUC': 0.6124749183654785}
{'Accuracy': 0.6897618770599365, 'F1_Score': 0.30506667494773865, 'Recall': 0.40857142210006714, 'Precision': 0.24340425431728363, 'AUC': 0.6101983785629272}
{'Accuracy': 0.677142858505249, 'F1_Score': 0.31376516819000244, 'Recall': 0.44285714626312256, 'Precision': 0.24294671416282654, 'AUC': 0.6090608239173889}
{'Accuracy': 0.6178571581840515, 'F1_Score': 0.3084877133369446, 'Recall': 0.5114285945892334, 'Precision': 0.220851331949234, 'AUC': 0.6148440837860107}
{'Accuracy': 0.7099999785423279, 'F1_Score': 0.3016054928302765, 'Recall': 0.3757142722606659, 'Precision': 0.25191572308540344, 'AUC': 0.5999763011932373}
{'Accuracy': 0.6523809432983398, 'F1_Score': 0.3113207519054413, 'Recall': 0.4714285731315613, 'Precision': 0.23239436745643616, 'AUC': 0.6060408353805542}
{'Accuracy': 0.618571400642395, 'F1_Score': 0.30043667554855347, 'Recall': 0.49142858386039734, 'Precision': 0.2163521945476532, 'AUC': 0.6064745187759399}
{'Accuracy': 0.666190505027771, 'F1_Score': 0.30039921402931213, 'Recall': 0.4300000071525574, 'Precision': 0.23082822561264038, 'AUC': 0.6032936573028564}
{'Accuracy': 0.7102380990982056, 'F1_Score': 0.3182072937488556, 'Recall': 0.4057142734527588, 'Precision': 0.2617511451244354, 'AUC': 0.6092634201049805}
{'Accuracy': 0.6378571391105652, 'F1_Score': 0.3212851285934448, 'Recall': 0.5142857432365417, 'Precision': 0.23361453413963318, 'AUC': 0.6139962673187256}
{'Accuracy': 0.6538095474243164, 'F1_Score': 0.30028873682022095, 'Recall': 0.4457142949104309, 'Precision': 0.22641509771347046, 'AUC': 0.6059167385101318}
{'Accuracy': 0.6480952501296997, 'F1_Score': 0.30610328912734985, 'Recall': 0.4657142758369446, 'Precision': 0.22797203063964844, 'AUC': 0.6048877835273743}
{'Accuracy': 0.6045238375663757, 'F1_Score': 0.31221532821655273, 'Recall': 0.5385714173316956, 'Precision': 0.21982507407665253, 'AUC': 0.6114985942840576}
{'Accuracy': 0.6899999976158142, 'F1_Score': 0.2977346181869507, 'Recall': 0.3942857086658478, 'Precision': 0.23916810750961304, 'AUC': 0.6063989400863647}
{'Accuracy': 0.6852381229400635, 'F1_Score': 0.31360331177711487, 'Recall': 0.43142858147621155, 'Precision': 0.24632953107357025, 'AUC': 0.6137222647666931}
{'Accuracy': 0.6409524083137512, 'F1_Score': 0.3012048304080963, 'Recall': 0.4642857015132904, 'Precision': 0.22290809452533722, 'AUC': 0.6058691740036011}
{'Accuracy': 0.6873809695243835, 'F1_Score': 0.31578946113586426, 'Recall': 0.4328571557998657, 'Precision': 0.24856439232826233, 'AUC': 0.611958384513855}
{'Accuracy': 0.6590476036071777, 'F1_Score': 0.29388558864593506, 'Recall': 0.42571428418159485, 'Precision': 0.22439758479595184, 'AUC': 0.5975627899169922}
{'Accuracy': 0.386428564786911, 'F1_Score': 0.2668563425540924, 'Recall': 0.6700000166893005, 'Precision': 0.16660745441913605, 'AUC': 0.49655306339263916}
{'Accuracy': 0.4749999940395355, 'F1_Score': 0.2608112692832947, 'Recall': 0.5557143092155457, 'Precision': 0.1703898310661316, 'AUC': 0.5035881996154785}
{'Accuracy': 0.38428571820259094, 'F1_Score': 0.26575809717178345, 'Recall': 0.668571412563324, 'Precision': 0.16583983600139618, 'AUC': 0.4990873634815216}
{'Accuracy': 0.4180952310562134, 'F1_Score': 0.25669100880622864, 'Recall': 0.6028571724891663, 'Precision': 0.1630602777004242, 'AUC': 0.49862244725227356}
{'Accuracy': 0.41999998688697815, 'F1_Score': 0.26626506447792053, 'Recall': 0.631428599357605, 'Precision': 0.16870228946208954, 'AUC': 0.5014077425003052}
{'Accuracy': 0.36571428179740906, 'F1_Score': 0.2689352333545685, 'Recall': 0.699999988079071, 'Precision': 0.1664402186870575, 'AUC': 0.49764877557754517}
{'Accuracy': 0.38261905312538147, 'F1_Score': 0.2714245617389679, 'Recall': 0.6899999976158142, 'Precision': 0.16894018650054932, 'AUC': 0.5013781785964966}
{'Accuracy': 0.4035714268684387, 'F1_Score': 0.26518040895462036, 'Recall': 0.645714282989502, 'Precision': 0.1668512374162674, 'AUC': 0.5047752857208252}
{'Accuracy': 0.4628571569919586, 'F1_Score': 0.25642716884613037, 'Recall': 0.5557143092155457, 'Precision': 0.1666666716337204, 'AUC': 0.5039606094360352}
{'Accuracy': 0.4354761838912964, 'F1_Score': 0.25883087515830994, 'Recall': 0.5914285778999329, 'Precision': 0.16566626727581024, 'AUC': 0.4989728331565857}
{'Accuracy': 0.4057142734527588, 'F1_Score': 0.266745001077652, 'Recall': 0.6485714316368103, 'Precision': 0.16789941489696503, 'AUC': 0.500155508518219}
{'Accuracy': 0.43642857670783997, 'F1_Score': 0.25542622804641724, 'Recall': 0.5799999833106995, 'Precision': 0.1637757122516632, 'AUC': 0.4999971091747284}
{'Accuracy': 0.3811904788017273, 'F1_Score': 0.2742250859737396, 'Recall': 0.7014285922050476, 'Precision': 0.17042693495750427, 'AUC': 0.5056196451187134}
{'Accuracy': 0.3976190388202667, 'F1_Score': 0.2675159275531769, 'Recall': 0.6600000262260437, 'Precision': 0.16775599122047424, 'AUC': 0.5005635023117065}
{'Accuracy': 0.3854762017726898, 'F1_Score': 0.26530030369758606, 'Recall': 0.6657142639160156, 'Precision': 0.16565944254398346, 'AUC': 0.4993177652359009}
{'Accuracy': 0.39571428298950195, 'F1_Score': 0.2702702581882477, 'Recall': 0.6714285612106323, 'Precision': 0.16918645799160004, 'AUC': 0.5029118061065674}
{'Accuracy': 0.4523809552192688, 'F1_Score': 0.25518134236335754, 'Recall': 0.5628571510314941, 'Precision': 0.16499163210391998, 'AUC': 0.49905630946159363}
{'Accuracy': 0.47928571701049805, 'F1_Score': 0.25637537240982056, 'Recall': 0.5385714173316956, 'Precision': 0.16822846233844757, 'AUC': 0.5023212432861328}
{'Accuracy': 0.4576190412044525, 'F1_Score': 0.2594278156757355, 'Recall': 0.5699999928474426, 'Precision': 0.1679292917251587, 'AUC': 0.5034162998199463}
{'Accuracy': 0.44999998807907104, 'F1_Score': 0.26386234164237976, 'Recall': 0.5914285778999329, 'Precision': 0.16981132328510284, 'AUC': 0.5058097839355469}
{'Accuracy': 0.43690475821495056, 'F1_Score': 0.2602439820766449, 'Recall': 0.5942857265472412, 'Precision': 0.16659991443157196, 'AUC': 0.49936020374298096}
{'Accuracy': 0.4233333468437195, 'F1_Score': 0.2620353400707245, 'Recall': 0.6142857074737549, 'Precision': 0.1665375679731369, 'AUC': 0.5024244785308838}
{'Accuracy': 0.4300000071525574, 'F1_Score': 0.26293104887008667, 'Recall': 0.6100000143051147, 'Precision': 0.1675824224948883, 'AUC': 0.5033485889434814}
{'Accuracy': 0.37880951166152954, 'F1_Score': 0.2718392312526703, 'Recall': 0.6957142949104309, 'Precision': 0.16892126202583313, 'AUC': 0.5040895938873291}
{'Accuracy': 0.409761905670166, 'F1_Score': 0.26548147201538086, 'Recall': 0.6399999856948853, 'Precision': 0.16747663915157318, 'AUC': 0.5027056932449341}
{'Accuracy': 0.421190470457077, 'F1_Score': 0.2653369605541229, 'Recall': 0.6271428465843201, 'Precision': 0.16826370358467102, 'AUC': 0.5045701861381531}
{'Accuracy': 0.4178571403026581, 'F1_Score': 0.2699313163757324, 'Recall': 0.645714282989502, 'Precision': 0.17063042521476746, 'AUC': 0.5021362900733948}
{'Accuracy': 0.5166666507720947, 'F1_Score': 0.25586509704589844, 'Recall': 0.4985714256763458, 'Precision': 0.17209072411060333, 'AUC': 0.5030808448791504}
{'Accuracy': 0.44428572058677673, 'F1_Score': 0.25904762744903564, 'Recall': 0.5828571319580078, 'Precision': 0.16653060913085938, 'AUC': 0.5029003620147705}
{'Accuracy': 0.4523809552192688, 'F1_Score': 0.25997427105903625, 'Recall': 0.5771428346633911, 'Precision': 0.16777408123016357, 'AUC': 0.49889248609542847}
{'Accuracy': 0.4119047522544861, 'F1_Score': 0.26836493611335754, 'Recall': 0.6471428275108337, 'Precision': 0.16928251087665558, 'AUC': 0.5029385685920715}
{'Accuracy': 0.37119048833847046, 'F1_Score': 0.2730525732040405, 'Recall': 0.7085714340209961, 'Precision': 0.16911011934280396, 'AUC': 0.5079815983772278}
{'Accuracy': 0.40833333134651184, 'F1_Score': 0.273179292678833, 'Recall': 0.6671428680419922, 'Precision': 0.17175431549549103, 'AUC': 0.5041677355766296}
{'Accuracy': 0.46738094091415405, 'F1_Score': 0.2629324495792389, 'Recall': 0.5699999928474426, 'Precision': 0.17087794840335846, 'AUC': 0.5047225952148438}
{'Accuracy': 0.4699999988079071, 'F1_Score': 0.26144659519195557, 'Recall': 0.5628571510314941, 'Precision': 0.17026793956756592, 'AUC': 0.502107560634613}
{'Accuracy': 0.4535714387893677, 'F1_Score': 0.255111962556839, 'Recall': 0.5614285469055176, 'Precision': 0.16505670547485352, 'AUC': 0.4979824423789978}
{'Accuracy': 0.3571428656578064, 'F1_Score': 0.2706645131111145, 'Recall': 0.7157142758369446, 'Precision': 0.1668887436389923, 'AUC': 0.5012957453727722}
{'Accuracy': 0.4650000035762787, 'F1_Score': 0.2596375644207001, 'Recall': 0.5628571510314941, 'Precision': 0.16873662173748016, 'AUC': 0.5015342831611633}
{'Accuracy': 0.43142858147621155, 'F1_Score': 0.2656826674938202, 'Recall': 0.6171428561210632, 'Precision': 0.16927899420261383, 'AUC': 0.506432056427002}
{'Accuracy': 0.3388095200061798, 'F1_Score': 0.274745374917984, 'Recall': 0.7514285445213318, 'Precision': 0.16810482740402222, 'AUC': 0.4999975562095642}
{'Accuracy': 0.39500001072883606, 'F1_Score': 0.2662431299686432, 'Recall': 0.6585714221000671, 'Precision': 0.16684763133525848, 'AUC': 0.49722737073898315}
{'Accuracy': 0.43857142329216003, 'F1_Score': 0.26358526945114136, 'Recall': 0.6028571724891663, 'Precision': 0.1686650663614273, 'AUC': 0.49949899315834045}
{'Accuracy': 0.45619046688079834, 'F1_Score': 0.2598833441734314, 'Recall': 0.572857141494751, 'Precision': 0.1680637001991272, 'AUC': 0.5032216310501099}
{'Accuracy': 0.4214285612106323, 'F1_Score': 0.2680722773075104, 'Recall': 0.6357142925262451, 'Precision': 0.16984732449054718, 'AUC': 0.5079061388969421}
{'Accuracy': 0.4392857253551483, 'F1_Score': 0.2615239918231964, 'Recall': 0.595714271068573, 'Precision': 0.1675371676683426, 'AUC': 0.5010044574737549}
{'Accuracy': 0.4633333384990692, 'F1_Score': 0.2609836161136627, 'Recall': 0.5685714483261108, 'Precision': 0.16936169564723969, 'AUC': 0.5011373162269592}
{'Accuracy': 0.43166667222976685, 'F1_Score': 0.26258882880210876, 'Recall': 0.6071428656578064, 'Precision': 0.1675206869840622, 'AUC': 0.49937736988067627}
{'Accuracy': 0.47404763102531433, 'F1_Score': 0.2574789822101593, 'Recall': 0.5471428632736206, 'Precision': 0.1683516502380371, 'AUC': 0.503485918045044}
