
{'Accuracy': 0.6657142639160156, 'F1_Score': 0.37040358781814575, 'Recall': 0.5899999737739563, 'Precision': 0.26993465423583984, 'AUC': 0.6916763186454773}
{'Accuracy': 0.6626190543174744, 'F1_Score': 0.3727312982082367, 'Recall': 0.6014285683631897, 'Precision': 0.27004489302635193, 'AUC': 0.6900399923324585}
{'Accuracy': 0.6640475988388062, 'F1_Score': 0.3714922070503235, 'Recall': 0.595714271068573, 'Precision': 0.26990291476249695, 'AUC': 0.6893996000289917}
{'Accuracy': 0.6633333563804626, 'F1_Score': 0.3726707994937897, 'Recall': 0.6000000238418579, 'Precision': 0.2702702581882477, 'AUC': 0.6862789988517761}
{'Accuracy': 0.6633333563804626, 'F1_Score': 0.3726707994937897, 'Recall': 0.6000000238418579, 'Precision': 0.2702702581882477, 'AUC': 0.6952073574066162}
{'Accuracy': 0.6635714173316956, 'F1_Score': 0.37283623218536377, 'Recall': 0.6000000238418579, 'Precision': 0.2704443037509918, 'AUC': 0.6920849084854126}
{'Accuracy': 0.6611904501914978, 'F1_Score': 0.366146981716156, 'Recall': 0.5871428847312927, 'Precision': 0.26601940393447876, 'AUC': 0.6844338774681091}
{'Accuracy': 0.6657142639160156, 'F1_Score': 0.37040358781814575, 'Recall': 0.5899999737739563, 'Precision': 0.26993465423583984, 'AUC': 0.6885689496994019}
{'Accuracy': 0.6642857193946838, 'F1_Score': 0.3694096505641937, 'Recall': 0.5899999737739563, 'Precision': 0.2688802182674408, 'AUC': 0.6886636018753052}
{'Accuracy': 0.670714259147644, 'F1_Score': 0.38120806217193604, 'Recall': 0.6085714101791382, 'Precision': 0.2775244414806366, 'AUC': 0.6950199604034424}
{'Accuracy': 0.6616666913032532, 'F1_Score': 0.3709605932235718, 'Recall': 0.5985714197158813, 'Precision': 0.2687620222568512, 'AUC': 0.683692455291748}
{'Accuracy': 0.6666666865348816, 'F1_Score': 0.37219730019569397, 'Recall': 0.5928571224212646, 'Precision': 0.27124184370040894, 'AUC': 0.6902543306350708}
{'Accuracy': 0.6621428728103638, 'F1_Score': 0.3757149279117584, 'Recall': 0.6100000143051147, 'Precision': 0.2714558243751526, 'AUC': 0.6909701824188232}
{'Accuracy': 0.6664285659790039, 'F1_Score': 0.3770564794540405, 'Recall': 0.6057142615318298, 'Precision': 0.2737249732017517, 'AUC': 0.6907653212547302}
{'Accuracy': 0.6645237803459167, 'F1_Score': 0.3695749342441559, 'Recall': 0.5899999737739563, 'Precision': 0.2690553665161133, 'AUC': 0.6888549327850342}
{'Accuracy': 0.6721428632736206, 'F1_Score': 0.3794502019882202, 'Recall': 0.6014285683631897, 'Precision': 0.2771560251712799, 'AUC': 0.6899477243423462}
{'Accuracy': 0.6735714077949524, 'F1_Score': 0.3776668310165405, 'Recall': 0.5942857265472412, 'Precision': 0.27677977085113525, 'AUC': 0.690855860710144}
{'Accuracy': 0.6607142686843872, 'F1_Score': 0.3747257590293884, 'Recall': 0.6100000143051147, 'Precision': 0.2704243063926697, 'AUC': 0.6925738453865051}
{'Accuracy': 0.6616666913032532, 'F1_Score': 0.3704032003879547, 'Recall': 0.5971428751945496, 'Precision': 0.26846498250961304, 'AUC': 0.6903212070465088}
{'Accuracy': 0.6623809337615967, 'F1_Score': 0.3764292001724243, 'Recall': 0.6114285588264465, 'Precision': 0.2719186842441559, 'AUC': 0.6897367238998413}
{'Accuracy': 0.6590476036071777, 'F1_Score': 0.3746725022792816, 'Recall': 0.6128571629524231, 'Precision': 0.26981133222579956, 'AUC': 0.695339560508728}
{'Accuracy': 0.6626190543174744, 'F1_Score': 0.3716186285018921, 'Recall': 0.5985714197158813, 'Precision': 0.26945337653160095, 'AUC': 0.6950465440750122}
{'Accuracy': 0.6561904549598694, 'F1_Score': 0.43014997243881226, 'Recall': 0.7785714268684387, 'Precision': 0.2971646785736084, 'AUC': 0.7783359289169312}
{'Accuracy': 0.6583333611488342, 'F1_Score': 0.43078142404556274, 'Recall': 0.7757142782211304, 'Precision': 0.29818782210350037, 'AUC': 0.7752063274383545}
{'Accuracy': 0.6569047570228577, 'F1_Score': 0.432006299495697, 'Recall': 0.7828571200370789, 'Precision': 0.2983124554157257, 'AUC': 0.778228759765625}
{'Accuracy': 0.6440476179122925, 'F1_Score': 0.41941747069358826, 'Recall': 0.7714285850524902, 'Precision': 0.2879999876022339, 'AUC': 0.771064281463623}
{'Accuracy': 0.6523809432983398, 'F1_Score': 0.4287949800491333, 'Recall': 0.7828571200370789, 'Precision': 0.29525861144065857, 'AUC': 0.7785583734512329}
{'Accuracy': 0.6554762125015259, 'F1_Score': 0.4282892048358917, 'Recall': 0.7742857336997986, 'Precision': 0.29601311683654785, 'AUC': 0.7767404317855835}
{'Accuracy': 0.6607142686843872, 'F1_Score': 0.434748113155365, 'Recall': 0.7828571200370789, 'Precision': 0.3009335398674011, 'AUC': 0.783636748790741}
{'Accuracy': 0.6650000214576721, 'F1_Score': 0.4333467483520508, 'Recall': 0.7685714364051819, 'Precision': 0.3017386496067047, 'AUC': 0.770377516746521}
{'Accuracy': 0.6566666960716248, 'F1_Score': 0.4318360984325409, 'Recall': 0.7828571200370789, 'Precision': 0.2981501519680023, 'AUC': 0.7791122198104858}
