
{'Accuracy': 0.5604761838912964, 'F1_Score': 0.31170767545700073, 'Recall': 0.5971428751945496, 'Precision': 0.21089808642864227, 'AUC': 0.6081666946411133}
{'Accuracy': 0.5952380895614624, 'F1_Score': 0.30894309282302856, 'Recall': 0.5428571701049805, 'Precision': 0.21590909361839294, 'AUC': 0.6020746827125549}
{'Accuracy': 0.5864285826683044, 'F1_Score': 0.3131672739982605, 'Recall': 0.5657142996788025, 'Precision': 0.21651175618171692, 'AUC': 0.60066819190979}
{'Accuracy': 0.5852380990982056, 'F1_Score': 0.3189992308616638, 'Recall': 0.5828571319580078, 'Precision': 0.219590961933136, 'AUC': 0.6156424283981323}
{'Accuracy': 0.586904764175415, 'F1_Score': 0.30904021859169006, 'Recall': 0.5542857050895691, 'Precision': 0.21424627304077148, 'AUC': 0.5957757234573364}
{'Accuracy': 0.651190459728241, 'F1_Score': 0.3112364709377289, 'Recall': 0.47285714745521545, 'Precision': 0.2319551557302475, 'AUC': 0.6066261529922485}
{'Accuracy': 0.6590476036071777, 'F1_Score': 0.3075435161590576, 'Recall': 0.45428571105003357, 'Precision': 0.23245614767074585, 'AUC': 0.6129038333892822}
{'Accuracy': 0.6135714054107666, 'F1_Score': 0.3125794231891632, 'Recall': 0.5271428823471069, 'Precision': 0.22215533256530762, 'AUC': 0.6040048599243164}
{'Accuracy': 0.630476176738739, 'F1_Score': 0.31448763608932495, 'Recall': 0.508571445941925, 'Precision': 0.22762148082256317, 'AUC': 0.6052350997924805}
{'Accuracy': 0.5647618770599365, 'F1_Score': 0.3122648596763611, 'Recall': 0.5928571224212646, 'Precision': 0.21195097267627716, 'AUC': 0.6096901893615723}
{'Accuracy': 0.5826190710067749, 'F1_Score': 0.3160358965396881, 'Recall': 0.5785714387893677, 'Precision': 0.21739129722118378, 'AUC': 0.6076534390449524}
{'Accuracy': 0.5904762148857117, 'F1_Score': 0.30589184165000916, 'Recall': 0.5414285659790039, 'Precision': 0.21316085755825043, 'AUC': 0.5932984352111816}
{'Accuracy': 0.6528571248054504, 'F1_Score': 0.3224906921386719, 'Recall': 0.4957142770290375, 'Precision': 0.2389807105064392, 'AUC': 0.6124981641769409}
{'Accuracy': 0.6302381157875061, 'F1_Score': 0.30700579285621643, 'Recall': 0.49142858386039734, 'Precision': 0.22323167324066162, 'AUC': 0.6080824732780457}
{'Accuracy': 0.6178571581840515, 'F1_Score': 0.30669546127319336, 'Recall': 0.5071428418159485, 'Precision': 0.2198142409324646, 'AUC': 0.6066616177558899}
{'Accuracy': 0.647857129573822, 'F1_Score': 0.30465444922447205, 'Recall': 0.4628571569919586, 'Precision': 0.22704975306987762, 'AUC': 0.6111116409301758}
{'Accuracy': 0.5845237970352173, 'F1_Score': 0.3291041851043701, 'Recall': 0.6114285588264465, 'Precision': 0.2251446545124054, 'AUC': 0.6137449145317078}
{'Accuracy': 0.5785714387893677, 'F1_Score': 0.3107476532459259, 'Recall': 0.5699999928474426, 'Precision': 0.21359743177890778, 'AUC': 0.6008244752883911}
{'Accuracy': 0.5121428370475769, 'F1_Score': 0.3032982051372528, 'Recall': 0.6371428370475769, 'Precision': 0.19901829957962036, 'AUC': 0.5750640630722046}
{'Accuracy': 0.572857141494751, 'F1_Score': 0.2824000120162964, 'Recall': 0.5042856931686401, 'Precision': 0.19611111283302307, 'AUC': 0.5712506175041199}
{'Accuracy': 0.5702381134033203, 'F1_Score': 0.30228063464164734, 'Recall': 0.558571457862854, 'Precision': 0.20720720291137695, 'AUC': 0.5821161270141602}
{'Accuracy': 0.5504761934280396, 'F1_Score': 0.30383479595184326, 'Recall': 0.5885714292526245, 'Precision': 0.20477136969566345, 'AUC': 0.5815739035606384}
{'Accuracy': 0.5573809742927551, 'F1_Score': 0.2918095290660858, 'Recall': 0.5471428632736206, 'Precision': 0.1989610344171524, 'AUC': 0.5731099843978882}
{'Accuracy': 0.558571457862854, 'F1_Score': 0.2819519639015198, 'Recall': 0.5199999809265137, 'Precision': 0.19341126084327698, 'AUC': 0.5676628351211548}
{'Accuracy': 0.5390475988388062, 'F1_Score': 0.29651162028312683, 'Recall': 0.5828571319580078, 'Precision': 0.19883041083812714, 'AUC': 0.5756138563156128}
