
{'Accuracy': 0.6414285898208618, 'F1_Score': 0.31855204701423645, 'Recall': 0.5028571486473083, 'Precision': 0.23311258852481842, 'AUC': 0.6161644458770752}
{'Accuracy': 0.6050000190734863, 'F1_Score': 0.3429703116416931, 'Recall': 0.618571400642395, 'Precision': 0.23726026713848114, 'AUC': 0.6381350755691528}
{'Accuracy': 0.6352381110191345, 'F1_Score': 0.3350694477558136, 'Recall': 0.5514285564422607, 'Precision': 0.24064837396144867, 'AUC': 0.6368146538734436}
{'Accuracy': 0.5223809480667114, 'F1_Score': 0.31815090775489807, 'Recall': 0.668571412563324, 'Precision': 0.2087422013282776, 'AUC': 0.6129971742630005}
{'Accuracy': 0.5616666674613953, 'F1_Score': 0.32687386870384216, 'Recall': 0.6385714411735535, 'Precision': 0.21965602040290833, 'AUC': 0.6239222884178162}
{'Accuracy': 0.5526190400123596, 'F1_Score': 0.32141566276550293, 'Recall': 0.6357142925262451, 'Precision': 0.21507975459098816, 'AUC': 0.6183996200561523}
{'Accuracy': 0.6180952191352844, 'F1_Score': 0.3294314444065094, 'Recall': 0.5628571510314941, 'Precision': 0.2328605204820633, 'AUC': 0.6260858774185181}
{'Accuracy': 0.6154761910438538, 'F1_Score': 0.32114332914352417, 'Recall': 0.545714259147644, 'Precision': 0.22751638293266296, 'AUC': 0.6255102157592773}
{'Accuracy': 0.5752381086349487, 'F1_Score': 0.31908395886421204, 'Recall': 0.5971428751945496, 'Precision': 0.21770833432674408, 'AUC': 0.6172669529914856}
{'Accuracy': 0.5642856955528259, 'F1_Score': 0.3272058963775635, 'Recall': 0.6357142925262451, 'Precision': 0.22029702365398407, 'AUC': 0.629183292388916}
{'Accuracy': 0.6264285445213318, 'F1_Score': 0.32977360486984253, 'Recall': 0.5514285564422607, 'Precision': 0.23522242903709412, 'AUC': 0.6305975317955017}
{'Accuracy': 0.6159523725509644, 'F1_Score': 0.3225535452365875, 'Recall': 0.5485714077949524, 'Precision': 0.2284354567527771, 'AUC': 0.6224155426025391}
{'Accuracy': 0.607619047164917, 'F1_Score': 0.3338722586631775, 'Recall': 0.5899999737739563, 'Precision': 0.2328072190284729, 'AUC': 0.6218944787979126}
{'Accuracy': 0.6714285612106323, 'F1_Score': 0.31137725710868835, 'Recall': 0.4457142949104309, 'Precision': 0.23926380276679993, 'AUC': 0.6190139055252075}
{'Accuracy': 0.6499999761581421, 'F1_Score': 0.3232044279575348, 'Recall': 0.5014285445213318, 'Precision': 0.23845109343528748, 'AUC': 0.6239885091781616}
{'Accuracy': 0.590238094329834, 'F1_Score': 0.3332041800022125, 'Recall': 0.6142857074737549, 'Precision': 0.22860181331634521, 'AUC': 0.629869818687439}
{'Accuracy': 0.6435714364051819, 'F1_Score': 0.3313979506492615, 'Recall': 0.5299999713897705, 'Precision': 0.2410656213760376, 'AUC': 0.6302362680435181}
{'Accuracy': 0.6069047451019287, 'F1_Score': 0.32085561752319336, 'Recall': 0.5571428537368774, 'Precision': 0.2253032922744751, 'AUC': 0.617848813533783}
{'Accuracy': 0.5840476155281067, 'F1_Score': 0.3189083933830261, 'Recall': 0.5842857360839844, 'Precision': 0.2193029522895813, 'AUC': 0.6144958734512329}
{'Accuracy': 0.5726190209388733, 'F1_Score': 0.3193022310733795, 'Recall': 0.6014285683631897, 'Precision': 0.2173464149236679, 'AUC': 0.6243748664855957}
{'Accuracy': 0.5904762148857117, 'F1_Score': 0.3244304656982422, 'Recall': 0.5899999737739563, 'Precision': 0.22372697293758392, 'AUC': 0.6264303922653198}
{'Accuracy': 0.5983333587646484, 'F1_Score': 0.32762056589126587, 'Recall': 0.5871428847312927, 'Precision': 0.22719734907150269, 'AUC': 0.6163415908813477}
{'Accuracy': 0.6123809814453125, 'F1_Score': 0.3227953314781189, 'Recall': 0.5542857050895691, 'Precision': 0.22769953310489655, 'AUC': 0.6281255483627319}
{'Accuracy': 0.49047619104385376, 'F1_Score': 0.3171665668487549, 'Recall': 0.7099999785423279, 'Precision': 0.20419062674045563, 'AUC': 0.6235085725784302}
{'Accuracy': 0.6159523725509644, 'F1_Score': 0.3364870548248291, 'Recall': 0.5842857360839844, 'Precision': 0.23627960681915283, 'AUC': 0.6268895864486694}
{'Accuracy': 0.5388095378875732, 'F1_Score': 0.32998961210250854, 'Recall': 0.6814285516738892, 'Precision': 0.21770881116390228, 'AUC': 0.6293665170669556}
{'Accuracy': 0.619523823261261, 'F1_Score': 0.3313807547092438, 'Recall': 0.5657142996788025, 'Precision': 0.2343195229768753, 'AUC': 0.6315054893493652}
{'Accuracy': 0.5935714244842529, 'F1_Score': 0.31964924931526184, 'Recall': 0.572857141494751, 'Precision': 0.22166943550109863, 'AUC': 0.6159902215003967}
{'Accuracy': 0.630476176738739, 'F1_Score': 0.32049036026000977, 'Recall': 0.522857129573822, 'Precision': 0.23106060922145844, 'AUC': 0.6187808513641357}
{'Accuracy': 0.5597618818283081, 'F1_Score': 0.3164510130882263, 'Recall': 0.6114285588264465, 'Precision': 0.2134663313627243, 'AUC': 0.6249849200248718}
{'Accuracy': 0.6197618842124939, 'F1_Score': 0.33761924505233765, 'Recall': 0.581428587436676, 'Precision': 0.23787258565425873, 'AUC': 0.6332849264144897}
{'Accuracy': 0.5376190543174744, 'F1_Score': 0.3280276954174042, 'Recall': 0.677142858505249, 'Precision': 0.21643835306167603, 'AUC': 0.6290240287780762}
{'Accuracy': 0.5657142996788025, 'F1_Score': 0.33284565806388855, 'Recall': 0.6499999761581421, 'Precision': 0.22369715571403503, 'AUC': 0.6353808641433716}
{'Accuracy': 0.5883333086967468, 'F1_Score': 0.32854369282722473, 'Recall': 0.604285717010498, 'Precision': 0.225600004196167, 'AUC': 0.6204652786254883}
{'Accuracy': 0.6307142972946167, 'F1_Score': 0.3218189775943756, 'Recall': 0.5257142782211304, 'Precision': 0.23188406229019165, 'AUC': 0.6187167167663574}
{'Accuracy': 0.6326190233230591, 'F1_Score': 0.32590651512145996, 'Recall': 0.5328571200370789, 'Precision': 0.23473882675170898, 'AUC': 0.6200547218322754}
{'Accuracy': 0.6054762005805969, 'F1_Score': 0.3167010247707367, 'Recall': 0.5485714077949524, 'Precision': 0.22260870039463043, 'AUC': 0.6165848970413208}
{'Accuracy': 0.5976190567016602, 'F1_Score': 0.3234587609767914, 'Recall': 0.5771428346633911, 'Precision': 0.22469410300254822, 'AUC': 0.619698166847229}
{'Accuracy': 0.6080952286720276, 'F1_Score': 0.3346806764602661, 'Recall': 0.5914285778999329, 'Precision': 0.23337091505527496, 'AUC': 0.6364453434944153}
{'Accuracy': 0.5623809695243835, 'F1_Score': 0.32476121187210083, 'Recall': 0.631428599357605, 'Precision': 0.2185954451560974, 'AUC': 0.631531834602356}
{'Accuracy': 0.5940476059913635, 'F1_Score': 0.32953205704689026, 'Recall': 0.5985714197158813, 'Precision': 0.22734671831130981, 'AUC': 0.6342068910598755}
{'Accuracy': 0.5997619032859802, 'F1_Score': 0.3262524902820587, 'Recall': 0.581428587436676, 'Precision': 0.22674094140529633, 'AUC': 0.6282240748405457}
{'Accuracy': 0.5883333086967468, 'F1_Score': 0.3269754648208618, 'Recall': 0.6000000238418579, 'Precision': 0.2247191071510315, 'AUC': 0.6239085793495178}
{'Accuracy': 0.6340476274490356, 'F1_Score': 0.3354950249195099, 'Recall': 0.5542857050895691, 'Precision': 0.24054557085037231, 'AUC': 0.6345592141151428}
{'Accuracy': 0.5573809742927551, 'F1_Score': 0.32669323682785034, 'Recall': 0.6442857384681702, 'Precision': 0.2188258171081543, 'AUC': 0.6274797916412354}
{'Accuracy': 0.6238095164299011, 'F1_Score': 0.3224699795246124, 'Recall': 0.5371428728103638, 'Precision': 0.23039215803146362, 'AUC': 0.6219663023948669}
{'Accuracy': 0.5909523963928223, 'F1_Score': 0.32308903336524963, 'Recall': 0.5857142806053162, 'Precision': 0.22306855022907257, 'AUC': 0.6198383569717407}
