
{'Accuracy': 0.5745238065719604, 'F1_Score': 0.3243856430053711, 'Recall': 0.6128571629524231, 'Precision': 0.2205655574798584, 'AUC': 0.635749340057373}
{'Accuracy': 0.5590476393699646, 'F1_Score': 0.33140793442726135, 'Recall': 0.6557142734527588, 'Precision': 0.22173912823200226, 'AUC': 0.640242874622345}
{'Accuracy': 0.5854762196540833, 'F1_Score': 0.33524245023727417, 'Recall': 0.6271428465843201, 'Precision': 0.22876498103141785, 'AUC': 0.6375387907028198}
{'Accuracy': 0.5716666579246521, 'F1_Score': 0.3249531090259552, 'Recall': 0.618571400642395, 'Precision': 0.22035624086856842, 'AUC': 0.6328117847442627}
{'Accuracy': 0.5702381134033203, 'F1_Score': 0.3267437517642975, 'Recall': 0.6257143020629883, 'Precision': 0.22110044956207275, 'AUC': 0.6329734325408936}
{'Accuracy': 0.5780952572822571, 'F1_Score': 0.32980331778526306, 'Recall': 0.6228571534156799, 'Precision': 0.22427983582019806, 'AUC': 0.6353898048400879}
{'Accuracy': 0.5914285778999329, 'F1_Score': 0.33021077513694763, 'Recall': 0.604285717010498, 'Precision': 0.22717508673667908, 'AUC': 0.6278289556503296}
{'Accuracy': 0.5871428847312927, 'F1_Score': 0.33101850748062134, 'Recall': 0.6128571629524231, 'Precision': 0.22674418985843658, 'AUC': 0.6398453712463379}
{'Accuracy': 0.579285740852356, 'F1_Score': 0.32839223742485046, 'Recall': 0.6171428561210632, 'Precision': 0.2237182855606079, 'AUC': 0.633306086063385}
{'Accuracy': 0.5747619271278381, 'F1_Score': 0.3315868377685547, 'Recall': 0.6328571438789368, 'Precision': 0.22464503347873688, 'AUC': 0.6369506120681763}
{'Accuracy': 0.5833333134651184, 'F1_Score': 0.328472763299942, 'Recall': 0.6114285588264465, 'Precision': 0.22455404698848724, 'AUC': 0.6350131034851074}
{'Accuracy': 0.5764285922050476, 'F1_Score': 0.333957314491272, 'Recall': 0.6371428370475769, 'Precision': 0.226281076669693, 'AUC': 0.6344501972198486}
{'Accuracy': 0.57833331823349, 'F1_Score': 0.3314458429813385, 'Recall': 0.6271428465843201, 'Precision': 0.2252437174320221, 'AUC': 0.6398926973342896}
{'Accuracy': 0.5797619223594666, 'F1_Score': 0.33371081948280334, 'Recall': 0.631428599357605, 'Precision': 0.22678296267986298, 'AUC': 0.6382009983062744}
{'Accuracy': 0.5740476250648499, 'F1_Score': 0.33021339774131775, 'Recall': 0.6299999952316284, 'Precision': 0.22374428808689117, 'AUC': 0.6309800148010254}
{'Accuracy': 0.5809524059295654, 'F1_Score': 0.32824426889419556, 'Recall': 0.6142857074737549, 'Precision': 0.2239583283662796, 'AUC': 0.6347661018371582}
{'Accuracy': 0.5861904621124268, 'F1_Score': 0.33765244483947754, 'Recall': 0.6328571438789368, 'Precision': 0.23024947941303253, 'AUC': 0.6389389634132385}
{'Accuracy': 0.5761904716491699, 'F1_Score': 0.32779455184936523, 'Recall': 0.6200000047683716, 'Precision': 0.2227926105260849, 'AUC': 0.6345424652099609}
{'Accuracy': 0.5707142949104309, 'F1_Score': 0.33098331093788147, 'Recall': 0.6371428370475769, 'Precision': 0.22355890274047852, 'AUC': 0.6357226371765137}
