
{'Accuracy': 0.5090476274490356, 'F1_Score': 0.2938356101512909, 'Recall': 0.6128571629524231, 'Precision': 0.19324325025081635, 'AUC': 0.5827741026878357}
{'Accuracy': 0.5299999713897705, 'F1_Score': 0.28890490531921387, 'Recall': 0.572857141494751, 'Precision': 0.19315992295742035, 'AUC': 0.5801283717155457}
{'Accuracy': 0.508571445941925, 'F1_Score': 0.2931506931781769, 'Recall': 0.6114285588264465, 'Precision': 0.19279278814792633, 'AUC': 0.5821293592453003}
{'Accuracy': 0.5142857432365417, 'F1_Score': 0.2936288118362427, 'Recall': 0.6057142615318298, 'Precision': 0.19378428161144257, 'AUC': 0.5830747485160828}
{'Accuracy': 0.5061904788017273, 'F1_Score': 0.28972601890563965, 'Recall': 0.604285717010498, 'Precision': 0.19054053723812103, 'AUC': 0.5837669372558594}
{'Accuracy': 0.5045238137245178, 'F1_Score': 0.28512537479400635, 'Recall': 0.5928571224212646, 'Precision': 0.1876978725194931, 'AUC': 0.5802489519119263}
{'Accuracy': 0.520714282989502, 'F1_Score': 0.2939319610595703, 'Recall': 0.5985714197158813, 'Precision': 0.19479312002658844, 'AUC': 0.5872542858123779}
{'Accuracy': 0.5166666507720947, 'F1_Score': 0.2897130846977234, 'Recall': 0.5914285778999329, 'Precision': 0.19184429943561554, 'AUC': 0.5866698026657104}
{'Accuracy': 0.5185714364051819, 'F1_Score': 0.2925122380256653, 'Recall': 0.5971428751945496, 'Precision': 0.19369786977767944, 'AUC': 0.5858098268508911}
{'Accuracy': 0.5076190233230591, 'F1_Score': 0.2849239408969879, 'Recall': 0.5885714292526245, 'Precision': 0.18795619904994965, 'AUC': 0.5813456773757935}
{'Accuracy': 0.5164285898208618, 'F1_Score': 0.293073445558548, 'Recall': 0.6014285683631897, 'Precision': 0.19374136626720428, 'AUC': 0.5851196050643921}
{'Accuracy': 0.5230952501296997, 'F1_Score': 0.2894643545150757, 'Recall': 0.5828571319580078, 'Precision': 0.1925436556339264, 'AUC': 0.5758269429206848}
{'Accuracy': 0.5028571486473083, 'F1_Score': 0.2926829159259796, 'Recall': 0.6171428561210632, 'Precision': 0.19182948768138885, 'AUC': 0.5852614641189575}
{'Accuracy': 0.5311904549598694, 'F1_Score': 0.29350554943084717, 'Recall': 0.5842857360839844, 'Precision': 0.19597508013248444, 'AUC': 0.5834051370620728}
{'Accuracy': 0.5007143020629883, 'F1_Score': 0.2917933166027069, 'Recall': 0.6171428561210632, 'Precision': 0.19106590747833252, 'AUC': 0.5869661569595337}
{'Accuracy': 0.5128571391105652, 'F1_Score': 0.290076345205307, 'Recall': 0.5971428751945496, 'Precision': 0.19156737625598907, 'AUC': 0.5836138725280762}
{'Accuracy': 0.5123809576034546, 'F1_Score': 0.2888889014720917, 'Recall': 0.5942857265472412, 'Precision': 0.1908256858587265, 'AUC': 0.5782128572463989}
{'Accuracy': 0.5176190733909607, 'F1_Score': 0.2896213233470917, 'Recall': 0.5899999737739563, 'Precision': 0.19191449880599976, 'AUC': 0.5808224678039551}
{'Accuracy': 0.508571445941925, 'F1_Score': 0.2907216548919678, 'Recall': 0.604285717010498, 'Precision': 0.19140271842479706, 'AUC': 0.5832240581512451}
{'Accuracy': 0.5071428418159485, 'F1_Score': 0.2871900796890259, 'Recall': 0.595714271068573, 'Precision': 0.1892014592885971, 'AUC': 0.5808510184288025}
{'Accuracy': 0.5076190233230591, 'F1_Score': 0.29371583461761475, 'Recall': 0.6142857074737549, 'Precision': 0.19299820065498352, 'AUC': 0.5848432779312134}
{'Accuracy': 0.5342857241630554, 'F1_Score': 0.29232996702194214, 'Recall': 0.5771428346633911, 'Precision': 0.19573643803596497, 'AUC': 0.5827714204788208}
{'Accuracy': 0.5142857432365417, 'F1_Score': 0.2960662543773651, 'Recall': 0.6128571629524231, 'Precision': 0.19517743587493896, 'AUC': 0.5822516679763794}
{'Accuracy': 0.5104761719703674, 'F1_Score': 0.28611111640930176, 'Recall': 0.5885714292526245, 'Precision': 0.18899083137512207, 'AUC': 0.5794561505317688}
{'Accuracy': 0.5123809576034546, 'F1_Score': 0.2942798137664795, 'Recall': 0.6100000143051147, 'Precision': 0.19391462206840515, 'AUC': 0.5841853022575378}
{'Accuracy': 0.5069047808647156, 'F1_Score': 0.2909962236881256, 'Recall': 0.6071428656578064, 'Precision': 0.19135524332523346, 'AUC': 0.582735538482666}
{'Accuracy': 0.5090476274490356, 'F1_Score': 0.2894555330276489, 'Recall': 0.6000000238418579, 'Precision': 0.19073569774627686, 'AUC': 0.5831652879714966}
{'Accuracy': 0.5190476179122925, 'F1_Score': 0.2927170991897583, 'Recall': 0.5971428751945496, 'Precision': 0.19387754797935486, 'AUC': 0.5831305980682373}
{'Accuracy': 0.5221428275108337, 'F1_Score': 0.2895575165748596, 'Recall': 0.5842857360839844, 'Precision': 0.19247059524059296, 'AUC': 0.581056535243988}
{'Accuracy': 0.5209524035453796, 'F1_Score': 0.2905500829219818, 'Recall': 0.5885714292526245, 'Precision': 0.19288389384746552, 'AUC': 0.5824338793754578}
{'Accuracy': 0.5226190686225891, 'F1_Score': 0.2937653958797455, 'Recall': 0.595714271068573, 'Precision': 0.1949509084224701, 'AUC': 0.5845310091972351}
{'Accuracy': 0.5221428275108337, 'F1_Score': 0.2925625741481781, 'Recall': 0.5928571224212646, 'Precision': 0.19419747591018677, 'AUC': 0.5813479423522949}
{'Accuracy': 0.5199999809265137, 'F1_Score': 0.2896406054496765, 'Recall': 0.5871428847312927, 'Precision': 0.19223573803901672, 'AUC': 0.577093243598938}
{'Accuracy': 0.5121428370475769, 'F1_Score': 0.29660144448280334, 'Recall': 0.6171428561210632, 'Precision': 0.19521012902259827, 'AUC': 0.5879840850830078}
{'Accuracy': 0.5149999856948853, 'F1_Score': 0.28651487827301025, 'Recall': 0.5842857360839844, 'Precision': 0.18979118764400482, 'AUC': 0.5841130614280701}
{'Accuracy': 0.5185714364051819, 'F1_Score': 0.2895291745662689, 'Recall': 0.5885714292526245, 'Precision': 0.191985085606575, 'AUC': 0.5842212438583374}
{'Accuracy': 0.5302380919456482, 'F1_Score': 0.29460135102272034, 'Recall': 0.5885714292526245, 'Precision': 0.19647115468978882, 'AUC': 0.5883340835571289}
{'Accuracy': 0.494523823261261, 'F1_Score': 0.287344753742218, 'Recall': 0.6114285588264465, 'Precision': 0.18780167400836945, 'AUC': 0.5873440504074097}
{'Accuracy': 0.5202381014823914, 'F1_Score': 0.2947147488594055, 'Recall': 0.6014285683631897, 'Precision': 0.19517849385738373, 'AUC': 0.5863555073738098}
